win,lose,probability,,,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Wteam,Agree,sum,total,accuracy
Houston Rockets,Phoenix Suns,0.796843751,,,,Phoenix Suns,109,Houston Rockets,103,,Phoenix Suns,0,,,
San Antonio Spurs,Golden State Warriors,0.917302974,,,,San Antonio Spurs,99,Golden State Warriors,121,,Golden State Warriors,0,,,
Los Angeles Clippers,Sacramento Kings,0.726254512,,,,Sacramento Kings,96,Los Angeles Clippers,115,,Los Angeles Clippers,1,,,
Los Angeles Lakers,Milwaukee Bucks,0.528946729,,,,Los Angeles Lakers,113,Milwaukee Bucks,106,,Los Angeles Lakers,1,,,
New York Knicks,Golden State Warriors,0.818695846,,,,New York Knicks,119,Golden State Warriors,104,,New York Knicks,1,,,
Utah Jazz,New Orleans Pelicans,0.683098384,,,,New Orleans Pelicans,118,Utah Jazz,129,,Utah Jazz,1,,,
Chicago Bulls,Charlotte Hornets,0.631265111,,,,Chicago Bulls,123,Charlotte Hornets,110,,Chicago Bulls,1,,,
Houston Rockets,Detroit Pistons,0.87100215,,,,Houston Rockets,103,Detroit Pistons,102,,Houston Rockets,1,,,
Indiana Pacers,Orlando Magic,0.626182182,,,,Orlando Magic,118,Indiana Pacers,120,,Indiana Pacers,1,,,
Brooklyn Nets,Cleveland Cavaliers,0.801633228,,,,Brooklyn Nets,113,Cleveland Cavaliers,125,,Cleveland Cavaliers,0,,,
Boston Celtics,Philadelphia 76ers,0.518135092,,,,Boston Celtics,110,Philadelphia 76ers,122,,Philadelphia 76ers,0,,,
Toronto Raptors,Miami Heat,0.532393893,,,,Miami Heat,81,Toronto Raptors,101,,Toronto Raptors,1,,,
Atlanta Hawks,Minnesota Timberwolves,0.584360132,,,,Atlanta Hawks,116,Minnesota Timberwolves,98,,Atlanta Hawks,1,,,
Dallas Mavericks,San Antonio Spurs,0.576963314,,,,Dallas Mavericks,122,San Antonio Spurs,117,,Dallas Mavericks,1,,,
Los Angeles Clippers,Oklahoma City Thunder,0.653785458,,,,Oklahoma City Thunder,106,Los Angeles Clippers,120,,Los Angeles Clippers,1,,,
Denver Nuggets,Phoenix Suns,0.688925697,,,,Denver Nuggets,130,Phoenix Suns,126,,Denver Nuggets,1,,,
New York Knicks,Sacramento Kings,0.502499337,,,,New York Knicks,94,Sacramento Kings,103,,Sacramento Kings,0,,,
Miami Heat,Brooklyn Nets,0.712724061,,,,Miami Heat,124,Brooklyn Nets,128,,Brooklyn Nets,0,,,
Philadelphia 76ers,Detroit Pistons,0.905653239,,,,Philadelphia 76ers,114,Detroit Pistons,110,,Philadelphia 76ers,1,,,
New Orleans Pelicans,Minnesota Timberwolves,0.726766935,,,,New Orleans Pelicans,110,Minnesota Timberwolves,120,,Minnesota Timberwolves,0,,,
Los Angeles Lakers,Chicago Bulls,0.874913867,,,,Los Angeles Lakers,101,Chicago Bulls,90,,Los Angeles Lakers,1,,,
Houston Rockets,Dallas Mavericks,0.552660233,,,,Houston Rockets,133,Dallas Mavericks,108,,Houston Rockets,1,,,
Denver Nuggets,Phoenix Suns,0.688925697,,,,Denver Nuggets,120,Phoenix Suns,112,,Denver Nuggets,1,,,
Utah Jazz,Golden State Warriors,0.79949337,,,,Golden State Warriors,108,Utah Jazz,127,,Utah Jazz,1,,,
Toronto Raptors,Indiana Pacers,0.617431238,,,,Toronto Raptors,107,Indiana Pacers,102,,Toronto Raptors,1,,,
Los Angeles Clippers,Oklahoma City Thunder,0.653785458,,,,Oklahoma City Thunder,100,Los Angeles Clippers,108,,Los Angeles Clippers,1,,,
Boston Celtics,Cleveland Cavaliers,0.848887497,,,,Cleveland Cavaliers,103,Boston Celtics,141,,Boston Celtics,1,,,
Orlando Magic,Charlotte Hornets,0.508651073,,,,Charlotte Hornets,107,Orlando Magic,104,,Charlotte Hornets,0,,,
Milwaukee Bucks,Atlanta Hawks,0.861914437,,,,Atlanta Hawks,115,Milwaukee Bucks,129,,Milwaukee Bucks,1,,,
San Antonio Spurs,Washington Wizards,0.653310431,,,,Washington Wizards,101,San Antonio Spurs,121,,San Antonio Spurs,1,,,
Portland Trail Blazers,New York Knicks,0.634742366,,,,New York Knicks,113,Portland Trail Blazers,116,,Portland Trail Blazers,1,,,
Philadelphia 76ers,Detroit Pistons,0.905653239,,,,Philadelphia 76ers,104,Detroit Pistons,119,,Detroit Pistons,0,,,
Toronto Raptors,Indiana Pacers,0.617431238,,,,Toronto Raptors,114,Indiana Pacers,129,,Indiana Pacers,0,,,
Orlando Magic,Charlotte Hornets,0.508651073,,,,Charlotte Hornets,108,Orlando Magic,117,,Orlando Magic,1,,,
Miami Heat,Brooklyn Nets,0.712724061,,,,Miami Heat,85,Brooklyn Nets,98,,Brooklyn Nets,0,,,
Los Angeles Lakers,Cleveland Cavaliers,0.918279265,,,,Los Angeles Lakers,115,Cleveland Cavaliers,108,,Los Angeles Lakers,1,,,
Denver Nuggets,Dallas Mavericks,0.543036472,,,,Denver Nuggets,117,Dallas Mavericks,113,,Denver Nuggets,1,,,
Boston Celtics,Chicago Bulls,0.844004662,,,,Boston Celtics,119,Chicago Bulls,103,,Boston Celtics,1,,,
Minnesota Timberwolves,Golden State Warriors,0.734129372,,,,Minnesota Timberwolves,108,Golden State Warriors,130,,Golden State Warriors,0,,,
Oklahoma City Thunder,Portland Trail Blazers,0.525766046,,,,Oklahoma City Thunder,125,Portland Trail Blazers,122,,Oklahoma City Thunder,1,,,
Los Angeles Clippers,Atlanta Hawks,0.902952061,,,,Los Angeles Clippers,99,Atlanta Hawks,108,,Atlanta Hawks,0,,,
Houston Rockets,Washington Wizards,0.790558323,,,,Washington Wizards,88,Houston Rockets,107,,Houston Rockets,1,,,
Utah Jazz,New York Knicks,0.688656233,,,,New York Knicks,94,Utah Jazz,108,,Utah Jazz,1,,,
Indiana Pacers,Charlotte Hornets,0.763962719,,,,Indiana Pacers,116,Charlotte Hornets,106,,Indiana Pacers,1,,,
Detroit Pistons,Cleveland Cavaliers,0.624520809,,,,Detroit Pistons,107,Cleveland Cavaliers,122,,Cleveland Cavaliers,0,,,
Sacramento Kings,Orlando Magic,0.610896622,,,,Sacramento Kings,121,Orlando Magic,107,,Sacramento Kings,1,,,
Brooklyn Nets,Atlanta Hawks,0.797761606,,,,Brooklyn Nets,132,Atlanta Hawks,128,,Brooklyn Nets,1,,,
Miami Heat,Denver Nuggets,0.563073701,,,,Denver Nuggets,109,Miami Heat,82,,Denver Nuggets,0,,,
Los Angeles Lakers,Philadelphia 76ers,0.581604422,,,,Los Angeles Lakers,106,Philadelphia 76ers,107,,Philadelphia 76ers,0,,,
Toronto Raptors,Milwaukee Bucks,0.567743942,,,,Milwaukee Bucks,115,Toronto Raptors,108,,Milwaukee Bucks,0,,,
Boston Celtics,San Antonio Spurs,0.643906896,,,,Boston Celtics,106,San Antonio Spurs,110,,San Antonio Spurs,0,,,
Washington Wizards,New Orleans Pelicans,0.539863923,,,,Washington Wizards,106,New Orleans Pelicans,124,,New Orleans Pelicans,0,,,
Oklahoma City Thunder,Phoenix Suns,0.624285676,,,,Oklahoma City Thunder,102,Phoenix Suns,97,,Oklahoma City Thunder,1,,,
Dallas Mavericks,Utah Jazz,0.500683989,,,,Dallas Mavericks,104,Utah Jazz,116,,Utah Jazz,0,,,
Minnesota Timberwolves,Golden State Warriors,0.734129372,,,,Minnesota Timberwolves,111,Golden State Warriors,123,,Golden State Warriors,0,,,
Houston Rockets,Portland Trail Blazers,0.575094086,,,,Portland Trail Blazers,101,Houston Rockets,104,,Houston Rockets,1,,,
Los Angeles Lakers,Detroit Pistons,0.905792958,,,,Los Angeles Lakers,92,Detroit Pistons,107,,Detroit Pistons,0,,,
Miami Heat,Los Angeles Clippers,0.506470981,,,,Los Angeles Clippers,109,Miami Heat,105,,Los Angeles Clippers,0,,,
Phoenix Suns,Golden State Warriors,0.676400603,,,,Golden State Warriors,93,Phoenix Suns,114,,Phoenix Suns,1,,,
Indiana Pacers,Charlotte Hornets,0.763962719,,,,Indiana Pacers,105,Charlotte Hornets,108,,Charlotte Hornets,0,,,
Atlanta Hawks,Washington Wizards,0.519894472,,,,Atlanta Hawks,116,Washington Wizards,100,,Atlanta Hawks,1,,,
Milwaukee Bucks,New Orleans Pelicans,0.797178617,,,,Milwaukee Bucks,126,New Orleans Pelicans,131,,New Orleans Pelicans,0,,,
Cleveland Cavaliers,New York Knicks,0.530643674,,,,Cleveland Cavaliers,81,New York Knicks,102,,New York Knicks,0,,,
Toronto Raptors,Sacramento Kings,0.734672124,,,,Sacramento Kings,126,Toronto Raptors,124,,Sacramento Kings,0,,,
Philadelphia 76ers,Minnesota Timberwolves,0.907732773,,,,Philadelphia 76ers,118,Minnesota Timberwolves,94,,Philadelphia 76ers,1,,,
Oklahoma City Thunder,Brooklyn Nets,0.601217337,,,,Brooklyn Nets,147,Oklahoma City Thunder,125,,Brooklyn Nets,0,,,
Los Angeles Clippers,Orlando Magic,0.786867705,,,,Los Angeles Clippers,116,Orlando Magic,90,,Los Angeles Clippers,1,,,
Denver Nuggets,San Antonio Spurs,0.612262774,,,,Denver Nuggets,109,San Antonio Spurs,119,,San Antonio Spurs,0,,,
Dallas Mavericks,Utah Jazz,0.500683989,,,,Dallas Mavericks,101,Utah Jazz,120,,Utah Jazz,0,,,
Portland Trail Blazers,Chicago Bulls,0.815774222,,,,Portland Trail Blazers,123,Chicago Bulls,122,,Portland Trail Blazers,1,,,
Milwaukee Bucks,Charlotte Hornets,0.838852247,,,,Milwaukee Bucks,114,Charlotte Hornets,126,,Charlotte Hornets,0,,,
Miami Heat,Sacramento Kings,0.707018992,,,,Sacramento Kings,104,Miami Heat,105,,Miami Heat,1,,,
Houston Rockets,New Orleans Pelicans,0.783995372,,,,Houston Rockets,126,New Orleans Pelicans,112,,Houston Rockets,1,,,
Los Angeles Lakers,Boston Celtics,0.557901687,,,,Los Angeles Lakers,96,Boston Celtics,95,,Los Angeles Lakers,1,,,
San Antonio Spurs,Memphis Grizzlies,0.614966939,,,,Memphis Grizzlies,129,San Antonio Spurs,112,,Memphis Grizzlies,0,,,
Dallas Mavericks,Phoenix Suns,0.722374887,,,,Phoenix Suns,111,Dallas Mavericks,105,,Phoenix Suns,0,,,
Detroit Pistons,Golden State Warriors,0.717589916,,,,Detroit Pistons,91,Golden State Warriors,118,,Golden State Warriors,0,,,
Los Angeles Clippers,New York Knicks,0.871772501,,,,Los Angeles Clippers,129,New York Knicks,115,,Los Angeles Clippers,1,,,
Denver Nuggets,Utah Jazz,0.528147917,,,,Utah Jazz,117,Denver Nuggets,128,,Denver Nuggets,1,,,
Philadelphia 76ers,Indiana Pacers,0.627884936,,,,Philadelphia 76ers,119,Indiana Pacers,110,,Philadelphia 76ers,1,,,
Toronto Raptors,Orlando Magic,0.738753117,,,,Orlando Magic,102,Toronto Raptors,115,,Toronto Raptors,1,,,
Brooklyn Nets,Washington Wizards,0.731875431,,,,Brooklyn Nets,146,Washington Wizards,149,,Washington Wizards,0,,,
Cleveland Cavaliers,Minnesota Timberwolves,0.581599942,,,,Cleveland Cavaliers,104,Minnesota Timberwolves,109,,Minnesota Timberwolves,0,,,
Los Angeles Lakers,Atlanta Hawks,0.916446991,,,,Los Angeles Lakers,107,Atlanta Hawks,99,,Los Angeles Lakers,1,,,
Miami Heat,Charlotte Hornets,0.79683678,,,,Charlotte Hornets,129,Miami Heat,121,,Charlotte Hornets,0,,,
New York Knicks,Chicago Bulls,0.647874476,,,,New York Knicks,102,Chicago Bulls,110,,Chicago Bulls,0,,,
Minnesota Timberwolves,Cleveland Cavaliers,0.64380533,,,,Minnesota Timberwolves,98,Cleveland Cavaliers,100,,Cleveland Cavaliers,0,,,
Milwaukee Bucks,Portland Trail Blazers,0.584489462,,,,Portland Trail Blazers,106,Milwaukee Bucks,134,,Milwaukee Bucks,1,,,
Sacramento Kings,New Orleans Pelicans,0.650888604,,,,Sacramento Kings,118,New Orleans Pelicans,109,,Sacramento Kings,1,,,
Houston Rockets,Oklahoma City Thunder,0.564305208,,,,Houston Rockets,136,Oklahoma City Thunder,106,,Houston Rockets,1,,,
Dallas Mavericks,Phoenix Suns,0.722374887,,,,Phoenix Suns,109,Dallas Mavericks,108,,Phoenix Suns,0,,,
San Antonio Spurs,Memphis Grizzlies,0.614966939,,,,Memphis Grizzlies,133,San Antonio Spurs,102,,Memphis Grizzlies,0,,,
Toronto Raptors,Orlando Magic,0.806054607,,,,Toronto Raptors,123,Orlando Magic,108,,Toronto Raptors,1,,,
Los Angeles Clippers,Brooklyn Nets,0.70578811,,,,Los Angeles Clippers,120,Brooklyn Nets,124,,Brooklyn Nets,0,,,
Indiana Pacers,Memphis Grizzlies,0.688389784,,,,Memphis Grizzlies,116,Indiana Pacers,134,,Indiana Pacers,1,,,
Portland Trail Blazers,Washington Wizards,0.827736793,,,,Portland Trail Blazers,132,Washington Wizards,121,,Portland Trail Blazers,1,,,
Boston Celtics,Golden State Warriors,0.929965484,,,,Boston Celtics,111,Golden State Warriors,107,,Boston Celtics,1,,,
Utah Jazz,Detroit Pistons,0.797193178,,,,Detroit Pistons,105,Utah Jazz,117,,Utah Jazz,1,,,
Philadelphia 76ers,Charlotte Hornets,0.872349488,,,,Philadelphia 76ers,118,Charlotte Hornets,111,,Philadelphia 76ers,1,,,
Milwaukee Bucks,Indiana Pacers,0.653188531,,,,Indiana Pacers,110,Milwaukee Bucks,130,,Milwaukee Bucks,1,,,
Dallas Mavericks,Atlanta Hawks,0.864852224,,,,Dallas Mavericks,122,Atlanta Hawks,116,,Dallas Mavericks,1,,,
New York Knicks,Chicago Bulls,0.647874476,,,,New York Knicks,107,Chicago Bulls,103,,New York Knicks,1,,,
Los Angeles Clippers,Cleveland Cavaliers,0.905049611,,,,Los Angeles Clippers,121,Cleveland Cavaliers,99,,Los Angeles Clippers,1,,,
Miami Heat,Washington Wizards,0.793163761,,,,Washington Wizards,103,Miami Heat,100,,Washington Wizards,0,,,
Houston Rockets,Oklahoma City Thunder,0.564305208,,,,Houston Rockets,87,Oklahoma City Thunder,104,,Oklahoma City Thunder,0,,,
San Antonio Spurs,Minnesota Timberwolves,0.726735402,,,,Minnesota Timberwolves,108,San Antonio Spurs,111,,San Antonio Spurs,1,,,
Phoenix Suns,New Orleans Pelicans,0.530314209,,,,Phoenix Suns,101,New Orleans Pelicans,123,,New Orleans Pelicans,0,,,
Boston Celtics,Sacramento Kings,0.748121783,,,,Boston Celtics,111,Sacramento Kings,116,,Sacramento Kings,0,,,
Utah Jazz,Atlanta Hawks,0.879760935,,,,Utah Jazz,112,Atlanta Hawks,91,,Utah Jazz,1,,,
Dallas Mavericks,Golden State Warriors,0.795728475,,,,Golden State Warriors,147,Dallas Mavericks,116,,Golden State Warriors,0,,,
Philadelphia 76ers,Portland Trail Blazers,0.531902633,,,,Portland Trail Blazers,121,Philadelphia 76ers,105,,Portland Trail Blazers,0,,,
Houston Rockets,Memphis Grizzlies,0.71762567,,,,Houston Rockets,115,Memphis Grizzlies,103,,Houston Rockets,1,,,
Los Angeles Lakers,Denver Nuggets,0.613826561,,,,Denver Nuggets,93,Los Angeles Lakers,114,,Los Angeles Lakers,1,,,
Indiana Pacers,New Orleans Pelicans,0.686719408,,,,New Orleans Pelicans,114,Indiana Pacers,113,,New Orleans Pelicans,0,,,
Chicago Bulls,Orlando Magic,0.521193136,,,,Chicago Bulls,119,Orlando Magic,123,,Orlando Magic,0,,,
Toronto Raptors,Brooklyn Nets,0.72976737,,,,Toronto Raptors,123,Brooklyn Nets,117,,Toronto Raptors,1,,,
Milwaukee Bucks,Cleveland Cavaliers,0.895235934,,,,Milwaukee Bucks,123,Cleveland Cavaliers,105,,Milwaukee Bucks,1,,,
Utah Jazz,Charlotte Hornets,0.820343362,,,,Utah Jazz,138,Charlotte Hornets,121,,Utah Jazz,1,,,
Miami Heat,Washington Wizards,0.793163761,,,,Washington Wizards,95,Miami Heat,122,,Miami Heat,1,,,
Oklahoma City Thunder,Minnesota Timberwolves,0.771209693,,,,Minnesota Timberwolves,106,Oklahoma City Thunder,103,,Minnesota Timberwolves,0,,,
Phoenix Suns,Detroit Pistons,0.673265399,,,,Detroit Pistons,92,Phoenix Suns,109,,Phoenix Suns,1,,,
Los Angeles Clippers,Boston Celtics,0.553017392,,,,Boston Celtics,119,Los Angeles Clippers,115,,Boston Celtics,0,,,
Portland Trail Blazers,New York Knicks,0.835364433,,,,Portland Trail Blazers,99,New York Knicks,110,,New York Knicks,0,,,
Denver Nuggets,Sacramento Kings,0.72173655,,,,Denver Nuggets,114,Sacramento Kings,119,,Sacramento Kings,0,,,
Chicago Bulls,Orlando Magic,0.521193136,,,,Chicago Bulls,118,Orlando Magic,92,,Chicago Bulls,1,,,
Toronto Raptors,Atlanta Hawks,0.912846132,,,,Toronto Raptors,121,Atlanta Hawks,132,,Atlanta Hawks,0,,,
Milwaukee Bucks,Cleveland Cavaliers,0.895235934,,,,Milwaukee Bucks,124,Cleveland Cavaliers,99,,Milwaukee Bucks,1,,,
Houston Rockets,San Antonio Spurs,0.57008909,,,,San Antonio Spurs,111,Houston Rockets,106,,San Antonio Spurs,0,,,
Oklahoma City Thunder,Minnesota Timberwolves,0.771209693,,,,Minnesota Timberwolves,118,Oklahoma City Thunder,120,,Oklahoma City Thunder,1,,,
Philadelphia 76ers,Brooklyn Nets,0.666699988,,,,Brooklyn Nets,108,Philadelphia 76ers,124,,Philadelphia 76ers,1,,,
Dallas Mavericks,Golden State Warriors,0.795728475,,,,Golden State Warriors,132,Dallas Mavericks,134,,Dallas Mavericks,1,,,
Memphis Grizzlies,New Orleans Pelicans,0.580585695,,,,Memphis Grizzlies,109,New Orleans Pelicans,118,,New Orleans Pelicans,0,,,
Los Angeles Lakers,Detroit Pistons,0.878842976,,,,Detroit Pistons,129,Los Angeles Lakers,135,,Los Angeles Lakers,1,,,
Washington Wizards,Charlotte Hornets,0.608438847,,,,Washington Wizards,97,Charlotte Hornets,119,,Charlotte Hornets,0,,,
Utah Jazz,Indiana Pacers,0.529947949,,,,Utah Jazz,103,Indiana Pacers,95,,Utah Jazz,1,,,
Miami Heat,New York Knicks,0.875485755,,,,Miami Heat,109,New York Knicks,103,,Miami Heat,1,,,
Boston Celtics,Phoenix Suns,0.717203048,,,,Boston Celtics,91,Phoenix Suns,100,,Phoenix Suns,0,,,
Los Angeles Clippers,Sacramento Kings,0.726254512,,,,Sacramento Kings,113,Los Angeles Clippers,110,,Sacramento Kings,0,,,
Houston Rockets,Charlotte Hornets,0.827792609,,,,Houston Rockets,94,Charlotte Hornets,119,,Charlotte Hornets,0,,,
Washington Wizards,Chicago Bulls,0.613570881,,,,Washington Wizards,105,Chicago Bulls,101,,Washington Wizards,1,,,
Toronto Raptors,Memphis Grizzlies,0.775572859,,,,Toronto Raptors,128,Memphis Grizzlies,113,,Toronto Raptors,1,,,
Dallas Mavericks,Minnesota Timberwolves,0.779436004,,,,Minnesota Timberwolves,122,Dallas Mavericks,127,,Dallas Mavericks,1,,,
San Antonio Spurs,Golden State Warriors,0.74565039,,,,Golden State Warriors,100,San Antonio Spurs,105,,San Antonio Spurs,1,,,
Phoenix Suns,Cleveland Cavaliers,0.683765654,,,,Cleveland Cavaliers,113,Phoenix Suns,119,,Phoenix Suns,1,,,
Milwaukee Bucks,Denver Nuggets,0.504581511,,,,Milwaukee Bucks,125,Denver Nuggets,112,,Milwaukee Bucks,1,,,
Los Angeles Lakers,Oklahoma City Thunder,0.67934176,,,,Oklahoma City Thunder,112,Los Angeles Lakers,119,,Los Angeles Lakers,1,,,
Brooklyn Nets,Detroit Pistons,0.775678094,,,,Brooklyn Nets,111,Detroit Pistons,122,,Detroit Pistons,0,,,
Miami Heat,New York Knicks,0.767944416,,,,New York Knicks,96,Miami Heat,98,,Miami Heat,1,,,
Houston Rockets,New Orleans Pelicans,0.783995372,,,,Houston Rockets,101,New Orleans Pelicans,130,,New Orleans Pelicans,0,,,
San Antonio Spurs,Golden State Warriors,0.74565039,,,,Golden State Warriors,114,San Antonio Spurs,91,,Golden State Warriors,0,,,
Portland Trail Blazers,Orlando Magic,0.56411151,,,,Orlando Magic,97,Portland Trail Blazers,106,,Portland Trail Blazers,1,,,
Philadelphia 76ers,Sacramento Kings,0.793110018,,,,Philadelphia 76ers,119,Sacramento Kings,111,,Philadelphia 76ers,1,,,
Boston Celtics,Utah Jazz,0.570717246,,,,Boston Celtics,108,Utah Jazz,122,,Utah Jazz,0,,,
Toronto Raptors,Washington Wizards,0.878754503,,,,Toronto Raptors,137,Washington Wizards,115,,Toronto Raptors,1,,,
Dallas Mavericks,Atlanta Hawks,0.799361247,,,,Atlanta Hawks,117,Dallas Mavericks,118,,Dallas Mavericks,1,,,
Indiana Pacers,Brooklyn Nets,0.572136256,,,,Indiana Pacers,94,Brooklyn Nets,104,,Brooklyn Nets,0,,,
Memphis Grizzlies,Charlotte Hornets,0.554564775,,,,Charlotte Hornets,114,Memphis Grizzlies,130,,Memphis Grizzlies,1,,,
Los Angeles Clippers,Minnesota Timberwolves,0.893150971,,,,Los Angeles Clippers,119,Minnesota Timberwolves,112,,Los Angeles Clippers,1,,,
New Orleans Pelicans,Chicago Bulls,0.653736941,,,,New Orleans Pelicans,116,Chicago Bulls,129,,Chicago Bulls,0,,,
Denver Nuggets,Cleveland Cavaliers,0.841096412,,,,Cleveland Cavaliers,95,Denver Nuggets,133,,Denver Nuggets,1,,,
Los Angeles Lakers,Oklahoma City Thunder,0.67934176,,,,Oklahoma City Thunder,113,Los Angeles Lakers,114,,Los Angeles Lakers,1,,,
Milwaukee Bucks,Phoenix Suns,0.713736982,,,,Milwaukee Bucks,124,Phoenix Suns,125,,Phoenix Suns,0,,,
Toronto Raptors,Boston Celtics,0.546495206,,,,Toronto Raptors,106,Boston Celtics,120,,Boston Celtics,0,,,
Miami Heat,Houston Rockets,0.505889512,,,,Miami Heat,101,Houston Rockets,94,,Miami Heat,1,,,
Indiana Pacers,Detroit Pistons,0.819699779,,,,Indiana Pacers,111,Detroit Pistons,95,,Indiana Pacers,1,,,
Orlando Magic,Golden State Warriors,0.858427147,,,,Orlando Magic,105,Golden State Warriors,111,,Golden State Warriors,0,,,
Philadelphia 76ers,Portland Trail Blazers,0.685930306,,,,Philadelphia 76ers,114,Portland Trail Blazers,118,,Portland Trail Blazers,0,,,
Minnesota Timberwolves,Charlotte Hornets,0.524045299,,,,Minnesota Timberwolves,114,Charlotte Hornets,120,,Charlotte Hornets,0,,,
New York Knicks,Washington Wizards,0.666279476,,,,New York Knicks,109,Washington Wizards,91,,New York Knicks,1,,,
San Antonio Spurs,Atlanta Hawks,0.87635177,,,,San Antonio Spurs,125,Atlanta Hawks,114,,San Antonio Spurs,1,,,
Dallas Mavericks,New Orleans Pelicans,0.67802811,,,,New Orleans Pelicans,130,Dallas Mavericks,143,,Dallas Mavericks,1,,,
Boston Celtics,Detroit Pistons,0.842607919,,,,Detroit Pistons,108,Boston Celtics,102,,Detroit Pistons,0,,,
Los Angeles Clippers,Chicago Bulls,0.855766533,,,,Los Angeles Clippers,125,Chicago Bulls,106,,Los Angeles Clippers,1,,,
Denver Nuggets,Oklahoma City Thunder,0.595680234,,,,Oklahoma City Thunder,95,Denver Nuggets,97,,Denver Nuggets,1,,,
Milwaukee Bucks,Utah Jazz,0.56654088,,,,Milwaukee Bucks,115,Utah Jazz,129,,Utah Jazz,0,,,
Los Angeles Lakers,Memphis Grizzlies,0.800352482,,,,Memphis Grizzlies,105,Los Angeles Lakers,115,,Los Angeles Lakers,1,,,
Portland Trail Blazers,Cleveland Cavaliers,0.764183709,,,,Cleveland Cavaliers,110,Portland Trail Blazers,129,,Portland Trail Blazers,1,,,
Orlando Magic,Sacramento Kings,0.575602837,,,,Orlando Magic,123,Sacramento Kings,112,,Orlando Magic,1,,,
Philadelphia 76ers,Phoenix Suns,0.765986286,,,,Philadelphia 76ers,111,Phoenix Suns,120,,Phoenix Suns,0,,,
Indiana Pacers,Atlanta Hawks,0.838352678,,,,Indiana Pacers,125,Atlanta Hawks,113,,Indiana Pacers,1,,,
Houston Rockets,New York Knicks,0.849132584,,,,Houston Rockets,99,New York Knicks,121,,New York Knicks,0,,,
Brooklyn Nets,Golden State Warriors,0.860600912,,,,Brooklyn Nets,134,Golden State Warriors,117,,Brooklyn Nets,1,,,
Miami Heat,Utah Jazz,0.601242957,,,,Miami Heat,94,Utah Jazz,112,,Utah Jazz,0,,,
Boston Celtics,Washington Wizards,0.854461149,,,,Boston Celtics,91,Washington Wizards,104,,Washington Wizards,0,,,
San Antonio Spurs,Charlotte Hornets,0.815602625,,,,San Antonio Spurs,122,Charlotte Hornets,110,,San Antonio Spurs,1,,,
New Orleans Pelicans,Detroit Pistons,0.72185851,,,,New Orleans Pelicans,112,Detroit Pistons,123,,Detroit Pistons,0,,,
Toronto Raptors,Minnesota Timberwolves,0.861297646,,,,Minnesota Timberwolves,116,Toronto Raptors,112,,Minnesota Timberwolves,0,,,
Portland Trail Blazers,Dallas Mavericks,0.52691017,,,,Portland Trail Blazers,121,Dallas Mavericks,118,,Portland Trail Blazers,1,,,
Milwaukee Bucks,Oklahoma City Thunder,0.583778256,,,,Milwaukee Bucks,109,Oklahoma City Thunder,114,,Oklahoma City Thunder,0,,,
Orlando Magic,Phoenix Suns,0.536623777,,,,Orlando Magic,90,Phoenix Suns,109,,Phoenix Suns,0,,,
Los Angeles Lakers,Denver Nuggets,0.57252091,,,,Los Angeles Lakers,105,Denver Nuggets,122,,Denver Nuggets,0,,,
Los Angeles Clippers,Cleveland Cavaliers,0.871538558,,,,Cleveland Cavaliers,111,Los Angeles Clippers,128,,Los Angeles Clippers,1,,,
Memphis Grizzlies,Sacramento Kings,0.507004254,,,,Memphis Grizzlies,124,Sacramento Kings,110,,Memphis Grizzlies,1,,,
Indiana Pacers,Chicago Bulls,0.702888791,,,,Chicago Bulls,120,Indiana Pacers,112,,Chicago Bulls,0,,,
Houston Rockets,Washington Wizards,0.842022197,,,,Houston Rockets,119,Washington Wizards,131,,Washington Wizards,0,,,
Atlanta Hawks,New York Knicks,0.533470374,,,,Atlanta Hawks,112,New York Knicks,123,,New York Knicks,0,,,
Philadelphia 76ers,Utah Jazz,0.631796786,,,,Philadelphia 76ers,123,Utah Jazz,134,,Utah Jazz,0,,,
Cleveland Cavaliers,Golden State Warriors,0.707732706,,,,Cleveland Cavaliers,98,Golden State Warriors,129,,Golden State Warriors,0,,,
Los Angeles Clippers,Miami Heat,0.521736558,,,,Miami Heat,118,Los Angeles Clippers,125,,Los Angeles Clippers,1,,,
Brooklyn Nets,Sacramento Kings,0.579994482,,,,Brooklyn Nets,136,Sacramento Kings,125,,Brooklyn Nets,1,,,
Boston Celtics,Denver Nuggets,0.539832592,,,,Denver Nuggets,99,Boston Celtics,112,,Boston Celtics,1,,,
Memphis Grizzlies,New Orleans Pelicans,0.505858487,,,,New Orleans Pelicans,144,Memphis Grizzlies,113,,New Orleans Pelicans,0,,,
Toronto Raptors,Milwaukee Bucks,0.517439363,,,,Toronto Raptors,124,Milwaukee Bucks,113,,Toronto Raptors,1,,,
Los Angeles Lakers,Minnesota Timberwolves,0.907869726,,,,Los Angeles Lakers,112,Minnesota Timberwolves,104,,Los Angeles Lakers,1,,,
Portland Trail Blazers,Oklahoma City Thunder,0.538665914,,,,Portland Trail Blazers,115,Oklahoma City Thunder,104,,Portland Trail Blazers,1,,,
Brooklyn Nets,Phoenix Suns,0.5410972,,,,Brooklyn Nets,128,Phoenix Suns,124,,Brooklyn Nets,1,,,
New York Knicks,Orlando Magic,0.533771503,,,,New York Knicks,89,Orlando Magic,107,,Orlando Magic,0,,,
